topic,problem_statement,answer_option_1,answer_option_2,answer_option_3,answer_option_4,answer_option_5,solution,correct_option_number_pred
Sequence solving,"You're shown a sequence of numbers that appear to be increasing unpredictably: 2, 5, 10, 17, 26. You need to figure out the rule that governs the sequence to predict the next two numbers. What are the sixth and seventh numbers in this sequence?",37 and 50,36 and 49,35 and 48,42 and 56,Another answer,"Step 1: Observe the differences between consecutive numbers in the sequence: 5-2=3, 10-5=5, 17-10=7, 26-17=9. | Step 2: Notice that the differences themselves form an arithmetic sequence: 3, 5, 7, 9. This suggests that the difference increases by 2 each time. | Step 3: Predict the next difference by continuing the pattern: 9+2=11. | Step 4: Add the predicted difference to the last number in the original sequence to get the next number: 26+11=37. | Step 5: Repeat the process for the next number. The new difference will increase by 2 again: 11+2=13. | Step 6: Add the new difference to the last found number to get the subsequent number: 37+13=50. | 37 and 50",1
Sequence solving,"Imagine you encounter a bizarre sequence of numbers where each number depends on the one before it. The sequence begins with the number 2, and the rule to find the next number is to sum the digits of the square of the current number. The beginning of the sequence is as follows: 2, 4, 16, 7, 49, 16, 7... What is the 10th number in the sequence?",2,7,13,4,Another answer,"Step 1: Understand the rule - To get the next number in the sequence, take the square of the current number and sum its digits. | Step 2: Apply the rule to the first few terms to confirm understanding - For example, for the second term, we have 2^2=4, and the sum of its digits is 4. For the third term, we have 4^2=16, and the sum of its digits is 1+6=7. | Step 3: Continue applying the rule to generate the sequence until reaching the 10th term. | Step 4: Calculate the 8th term using the previous method - Starting with the last known term, 7, we calculate 7^2=49, and the sum of its digits is 4+9=13. | 13",3
Spatial reasoning,"In a room, there are 4 corner tables shaped as quarter-circles. Each table fits perfectly in each corner of the room. If you put them together, they form a full circle. One day, the tables were rearranged to form a new shape - a square with an empty space in the middle. The side of the square formed by the tables is twice the length of each side of the original square room. What is the ratio of the area of the empty space in the middle of the tables to the area of one table?",4 - pi,16/pi - 4,4/pi - 1,4/pi + 1,Another answer,"Step 1: Identify the radius of the original circular arrangement. The radius 'r' is half the side length of the original square room, denoted as 's'. So, r = s/2. | Step 2: Calculate the area of the original circle using the formula A = pi * r^2. Substituting the value of 'r', we get A = pi * (s/2)^2 = pi * s^2 / 4. | Step 3: Determine the side length of the new square formation. It is given as twice the length of the original square room, i.e., 2s. | Step 4: Calculate the area of the new square using the formula A = side^2. Substituting the value of 'side', we get A = (2s)^2 = 4s^2. | Step 5: Find the area of the empty space in the middle of the tables by subtracting the area of the original circle from the area of the new square: Empty Space Area = New Square Area - Original Circle Area = 4s^2 - pi * s^2 / 4. | (4s^2 - pi * s^2 / 4) / (pi * s^2 / 4)",2
Lateral thinking,Emma has been captured and she only has one chance to escape. The kidnapper tells her she can leave if she figures out the pattern and fills in the blank correctly. He gives her a piece of paper with the sequence: 'JFMAMJJASON_D'. What letter should Emma write in the blank to escape?,F,A,D,O,Another answer,"Step 1: Identify the initial pattern - The sequence provided by the kidnapper represents the first letter of each month of the year in order. | Step 2: Recognize the repetition - After September ('S'), the pattern starts again from January ('J'). | Step 3: Determine the position of the blank - The blank '_' comes after September ('S') which indicates it is the start of a new cycle. | J",1
Spatial reasoning,"Imagine a cube that is painted red on all its faces and is then cut into 27 identical smaller cubes. These smaller cubes are mixed up with identical cubes of the same size that have never been painted. If the ratio of painted to unpainted smaller cubes is 2:1, how many of the smaller cubes have exactly two red faces exposed?",8,12,18,27,Another answer,"{'final_answer_text': ""There are 27 small cubes. The only cubes with two red faces are the cubes from the edges of the original cube, but not the corners. There are 12 such cubes. To make sure you have at least one of these cubes with two red faces, take all 8 corner cubes first (none of which have two red faces, only one), leaving 19 cubes in the bag (all the middle cubes, including the ones with two and three red faces). By taking one more cube, we guarantee getting a cube with at least two red faces, because we'll be left with all the cubes from the middle of the faces and from the center of the cube, where at least the middle of the faces cubes have two red sides. Hence, the minimum number of cubes needed to be taken is 9."", 'options': ['7', '9', '8', '10', 'Another answer'], 'correct_option_number': 3}",1
Operation of mechanisms,"A new clock has been designed to use a special mechanism where each of the three gears (A, B, and C) engage with each other in a linear sequence (A engages with B, B engages with C). Gear A rotates clockwise, and each gear has a different number of teeth: Gear A has 40 teeth, Gear B has 55 teeth, and Gear C has 70 teeth. If gear A makes one full rotation clockwise, how many rotations and in which direction will gear C complete?",4/7 rotations clockwise,7/4 rotations counterclockwise,1/4 rotations clockwise,4/7 rotations counterclockwise,Another answer,Step 1: Determine the gear ratio between Gear A and Gear B by dividing the number of teeth on Gear B by the number of teeth on Gear A. Ratio A:B = 55/40. | Step 2: Simplify the ratio A:B to its lowest terms. Ratio A:B simplified = 11/8. | Step 3: Determine the gear ratio between Gear B and Gear C by dividing the number of teeth on Gear C by the number of teeth on Gear B. Ratio B:C = 70/55. | Step 4: Simplify the ratio B:C to its lowest terms. Ratio B:C simplified = 14/11. | Step 5: Calculate the overall gear ratio from Gear A to Gear C by multiplying the individual ratios together. Overall Ratio A:C = (11/8) * (14/11). | Step 6: Further simplify the overall ratio A:C. Overall Ratio A:C simplified = 14/8 = 7/4. | Gear C completes 7/4 rotations counterclockwise when Gear A completes one full rotation.,2
Classic riddles,You arrive at a fork in the road and find a pair of identical twin sisters standing there. One sister always tells the truth and the other always lies. You can ask just one question to either sister to figure out which road leads to the city. What question should you ask?,What road would your sister say is the one to the city?,"If your sister were here, which road would she tell me to take?",Do you know the way to the city?,Can you tell me which road leads to the city?,Another answer,"If you ask either sister, 'Which road would your sister say is the one to the city?', then take the opposite road. | This works because if you ask the truthful sister, she will honestly relay her liar sister's false direction. Conversely, if you ask the liar sister, she will deceive you by pointing to the true path as well since she cannot truthfully claim her sister's honesty.",1
Lateral thinking,"Alice, Bob, and Charlie are trapped in a room with two doors. One door leads to freedom, but the other door leads to a room full of traps that is unavoidable once someone enters. There is no indication of which door is which. In the room, there is a computer that allows them to ask one yes-or-no question. The computer will answer truthfully, but it will turn off after one question. They need to figure out which door to take without risking anyone's life. What single question can they ask the computer to ensure they pick the correct door to freedom?",Is the left door the one that leads to freedom?,Is the right door the one that leads to traps?,"If we were to ask you whether the left door leads to freedom, would you say yes?",Does either door lead to freedom at all?,Another answer,"If we were to ask you whether the left door leads to freedom, would you say yes? | By asking the computer this conditional question, regardless of its initial state, it must respond consistently due to its truth-telling nature. If the left door indeed leads to freedom, the computer would affirmatively reply ('yes') when asked directly. Conversely, if the left door does not lead to freedom, the computer would falsely deny ('no') when faced with the hypothetical scenario. This approach eliminates ambiguity and relies solely on the computer's consistent truthfulness.",3
Spatial reasoning,"Four friends are at corners of a large square field and want to reach the exact center of the field at the same time. Each of them starts walking at the same time with the same walking speed but each takes a different straight path. The paths are as follows: Friend A walks directly towards the center, Friend B walks diagonally to the opposite corner and then takes a 90-degree turn towards the center, Friend C walks to the midpoint of one of the edges of the square and then walks parallel to another edge to reach the center, and Friend D takes a path that first heads to the center of an adjacent edge and then directly towards the center. Assuming they all walk at a constant speed, which friend would need to walk the fastest to reach the center at the same time as the others?",Friend A,Friend B,Friend C,Friend D,Another answer,"Step 1: Understand the geometry of the situation - a square field implies equal sides and angles. | Step 2: Recognize that the shortest distance between any two points is a straight line, which applies to the center of the square. | Step 3: Analyze each friend's path geometrically - Friend A travels a straight line to the center, Friend B traverses the entire diagonal and then half of it, Friend C covers half the length of one edge twice, and Friend D moves half the length of an edge plus half the diagonal minus half the edge again. | Step 4: Compare the distances covered by each friend using basic geometry principles - the sum of the lengths of the segments taken by Friends B and D exceeds those of Friends A and C. | Step 5: Consider real-world variables such as potential deviation from the ideal path, but acknowledge this doesn't change the fundamental comparison of distances. | Step 6: Conclude that despite potential real-world variances, mathematically, Friend B still has the longest route to cover. | Friend B must walk the fastest since his path involves covering the full diagonal of the square, which represents the maximum distance among the given options when accounting for both theoretical and practical considerations.",2
Spatial reasoning,An ant is located at one corner of a 10 x 10 x 10 cube. It needs to crawl to the diagonally opposite corner in the shortest possible path without crossing any of the cube's faces. What is the minimum surface distance the ant must travel?,10 units,14.14 units,20 units,28.28 units,Another answer,"Step 1: Visualize the cube as being unfolded into a net consisting of six squares. | Step 2: Identify that the ant's starting point and destination form an 'L' shape when viewed from above. | Step 3: Determine that the shortest path for the ant involves traversing three edges of the cube - two edges forming a straight line and one edge connecting these points without crossing any face. | Step 4: Use the Pythagorean theorem to calculate the length of the hypotenuse formed by the two 10-unit edges on the base of the cube. Here, we use a=b=10 units, so c^2 = 10^2 + 10^2 = 200. | Step 5: Take the square root of 200 to find the length of the hypotenuse, which is sqrt(200) or approximately 14.14 units. | The minimum surface distance the ant must travel is approximately 14.14 units.",2
Spatial reasoning,"A builder has a set of 5 differently shaped blocks: a cube, a sphere, a pyramid, a cylinder, and a cone. He places all of them in a row but notices that when viewed from the top, three particular shapes align perfectly such that their top surfaces form a straight line. Which three shapes are these and in what order do they appear in the row? Note that the cylinder's height is twice its diameter, the cone's height is equal to the diameter of its base, and the cube side length is equal to the diameter of the sphere.",Cylinder - Sphere - Pyramid,Sphere - Cube - Cylinder,Cylinder - Cube - Cone,Pyramid - Sphere - Cone,Another answer,"Step 1: Analyze the geometric properties of each shape. The cube has six square faces, the sphere has no flat faces, the pyramid has a square base and four triangular faces converging at a point, the cylinder has two circular bases connected by a curved surface, and the cone has a circular base and tapers to a point. | Step 2: Determine possible orientations for alignment. Horizontal alignment requires flat or circular surfaces facing each other. Vertical alignment allows for any shape to align along a common axis. | Step 3: Assess horizontal alignment possibilities. The cube and sphere can align horizontally due to their circular cross-sections when viewed from above. The cone can also align horizontally if placed with its circular base parallel to the cube and sphere. | Step 4: Consider vertical alignment. The cylinder, being symmetrical around its central axis, can align vertically with either the cube or the sphere. The pyramid cannot align vertically with the others due to its pointed tip. | Step 5: Combine horizontal and vertical alignment possibilities. Given the constraints, the cube, sphere, and cone can align horizontally, while the cylinder can align vertically with any of the other shapes. However, since the question specifies 'top surfaces forming a straight line,' we prioritize horizontal alignment. | Step 6: Eliminate incorrect combinations. Options involving the pyramid are eliminated due to its lack of suitable flat surfaces for horizontal alignment. The cylinder's unique position allows it to fit into the sequence without disrupting the linear arrangement. | Cube - Sphere - Cone",4
Spatial reasoning,"You have a 4x4x4 cube made up of 64 smaller 1x1x1 cubes. You paint the entire outer surface of the large cube. After it dries, you take apart the cube and notice that some of the smaller cubes have 0, 1, 2, or 3 painted faces. How many of the smaller cubes have exactly 2 painted faces?",8,12,16,24,Another answer,"{'final_answer_text': ""Each small cube on a corner of the bigger cube has 3 faces painted. Since there are 7 such cubes, all 8 corners must have been accounted for (but only 7 were found). The missing corner cube explains the fall didn't break off any cubes with 3 painted faces. Cubes on edges have 2 faces painted. There are 8 cubes with exactly 2 painted faces and all 12 edges must be present in the 23 cubes found. For 12 edges, we need 12 cubes, but 8 + 1 (the missing corner) = 9 means 3 edge cubes are missing. Finally, cubes on the faces, but not on edges, have 1 painted face. Each of the 6 sides of the cube has a 3x3 area, but the middle cube (1 per side) has no paint, and the 4 corner cubes are already counted, leaving 4 (per side) with 1 painted face. In total, 4*6=24 such cubes on the bigger cube. Now, the 23 cubes you have are minus 8 (with 2 faces painted), 7 (with 3 faces painted), and 3 missing edge cubes (also would have 2 painted faces). That accounts for 18, so 23-18=5 cubes left. These 5 must be the only ones with 1 painted face."", 'options': ['5', '4', '6', '7', 'Another answer'], 'correct_option_number': 4}",1
Operation of mechanisms,"In a factory, there are three machines A, B, and C that are programmed to finish a task in exactly 1, 2, and 3 hours respectively. However, each machine needs a 30-minute setup time initially which doesn't count towards the task completion time. If all machines are started at the same time, how long will it take for all three machines to finish the task?",1 hour and 30 minutes,2 hours and 30 minutes,3 hours and 30 minutes,4 hours,Another answer,"{'final_answer_text': 'Let x be the time needed to complete 5 tasks when all machines work together. In the time it takes for them to complete 5 tasks, machine A would complete 5x tasks, machine B would complete 10x/3 tasks, and machine C would complete 5x/2 tasks. Since all these amount to 5 tasks in total when working together, we get the equation: 5x + (10x/3) + (5x/2) = 5. Combining like terms gives us (10x + 10x/3 + 5x) = 15. This simplifies to (30x + 10x + 15x) / 6 = 15, which means 55x/6 = 15. Solving for x gives: x = (15*6)/55 = 90/55. Simplifying 90/55 gives 1.6363... hours, which is about 1 hour and 38 minutes.', 'options': ['1 hour 30 minutes', '1 hour 38 minutes', '2 hours', '2 hours 15 minutes', 'Another answer'], 'correct_option_number': 5}",5
Sequence solving,"In a unique sequence, each number is the sum of the 3 previous numbers. The sequence starts with 2, 2, and 4. What is the 6th number in the sequence?",22,26,24,28,Another answer,"Step 1: Start with the given sequence - 2, 2, 4. | Step 2: Calculate the fourth number by adding the first three numbers - 2 + 2 + 4 = 8. | Step 3: Calculate the fifth number by adding the second, third, and fourth numbers - 2 + 4 + 8 = 14. | Step 4: Calculate the sixth number by adding the third, fourth, and fifth numbers - 4 + 8 + 14 = 26. | 26",2
Spatial reasoning,"In a cube-cutting challenge, you have a solid cube made of wood. In each move, you can make a straight cut through the cube. After the first cut, you now have two pieces. You make a second cut through both pieces, and now have four pieces. You make a third cut through all four pieces, and have some number of pieces now. Without rearranging any pieces between cuts, what is the maximum number of pieces you could have after the third cut?",7 pieces,8 pieces,9 pieces,10 pieces,Another answer,"Step 1: Understand that initially there is one piece - the whole cube. | Step 2: Recognize that after the first cut, the cube is divided into two pieces. | Step 3: Realize that after the second cut, each of these two pieces can be cut again independently, resulting in a total of 2*2 = 4 pieces. | Step 4: For the third cut, imagine cutting each of the four existing pieces once more. Each cut can potentially double the number of pieces if it intersects previously unconnected parts. | Step 5: To maximize the number of pieces, each new cut should intersect none of the previous cuts. Therefore, each of the four pieces can be cut into two separate pieces by the third cut. | Step 6: Calculate the maximum number of pieces by doubling the current number of pieces from the second cut. | 8 pieces",2
Logical traps,"In a special logic class, the teacher announces a surprise test will happen during the next week (Monday to Friday). However, the teacher also gives a hint: the test cannot be on Friday, since if it weren't given by Thursday, students would know for sure it was on Friday, and thus it would not be a surprise. After some thought, one clever student argues that following this logic, the test can't be on Thursday either, because come Wednesday night, without a test, Thursday would be the only remaining option, ceasing to be a surprise. Continuing this deduction, she concludes the test can't be on Wednesday... Tuesday... or even Monday! However, to the students' shock, the test was indeed given during the next week and it still was a surprise. How could this be, and when was the test given?",The test was given on Monday and the student's logic was flawed.,"The test could not be a surprise on any day according to the logic provided by the student; therefore, no test was given.","The test was given on Wednesday, making it a surprise since the student thought a test could not happen on any day.",The test was given on Friday because everyone mistakenly discarded it as an option earlier.,Another answer,"The test was given on Monday and the student's logic was flawed. | The student's argument creates a paradox known as the 'surprise test paradox.' By assuming that each subsequent day eliminates the possibility of a surprise test, the student erroneously concludes that no test could occur at all. This contradicts the initial statement made by the teacher about having a surprise test within the week. Since the test did take place and remained a surprise, it must have occurred on Monday before anyone applied the flawed logic.",1
Spatial reasoning,"Imagine you have a solid wooden cube that measures 3 units on each side. This cube is painted blue on all sides. After the paint dries, you slice this cube into 1-unit cubes. How many of the smaller 1-unit cubes will have exactly two sides painted blue?",8,12,0,24,Another answer,"{'final_answer_text': 'The only smaller cubes that will have exactly two painted sides are the cubes from the edges of the original cube, not including the corners, since corner pieces will have three painted sides. Since a cube has 12 edges and each edge will give rise to one such small cube after the cut, there will be 12 smaller cubes with exactly two painted sides.', 'options': ['8', '12', '6', '24', 'Another answer'], 'correct_option_number': 2}",2
Optimization of actions and planning,"You are planning a small party and you have three types of beverages to choose from: juice, soda, and water. Based on your guests' preferences, you know the following: - 60% prefer juice, 20% prefer soda, and 20% prefer water. - You have a budget that allows you to buy a total of 100 drinks. - One unit of juice costs $1, soda costs $0.80, and water costs $0.50. - You want to satisfy the preferences of at least 90% of your guests. How many units of each beverage should you buy to meet the preferences and stay within the budget, assuming each guest will have one drink?","74 units of juice, 13 units of soda, 13 units of water","60 units of juice, 20 units of soda, 20 units of water","70 units of juice, 15 units of soda, 15 units of water","65 units of juice, 17 units of soda, 18 units of water",Another answer,"60 units of juice, 20 units of soda, 20 units of water | To satisfy the preferences of at least 90% of the guests, we allocate 60% of the drinks to juice, 20% to soda, and 20% to water. This allocation respects both the guests' preferences and the budget constraint. With these allocations, we get 60 units of juice ($60), 20 units of soda ($16), and 20 units of water ($10), summing up to $86. This leaves room within the budget for potential additional purchases or savings.",2
Spatial reasoning,"A cube has edges of length 2 cm. If the largest possible cylinder is carved out of this cube, what will be the total surface area of the remaining part of the cube?",6.28 cm²,11.43 cm²,18.85 cm²,24 cm²,Another answer,"Step 1: Identify the dimensions of the largest possible cylinder within the cube. The diameter of the cylinder equals the side length of the cube, which is 2 cm. This gives us a radius (r) of 1 cm. | Step 2: Recognize that the height (h) of the cylinder is also equal to the side length of the cube, which is 2 cm. | Step 3: Calculate the lateral surface area of the cylinder using the formula 2πrh. With our values for r and h, this becomes 2π(1)(2) = 4π cm². However, remember that the top and bottom circular faces of the cylinder are removed when it is carved out of the cube. | Step 4: Understand that the removal of the top and bottom circular faces does not affect the lateral surface area previously calculated. The lateral surface area remains at 4π cm². | Step 5: Realize that the total surface area of the remaining part of the cube includes the lateral surface area of the cylinder plus the three untouched faces of the cube. The area of each untouched face is 2 cm x 2 cm = 4 cm². Since there are three such faces, their combined area is 3 x 4 cm² = 12 cm². | Step 6: Combine the lateral surface area of the cylinder with the area of the three untouched faces to determine the total surface area of the remaining part of the cube: 4π cm² + 12 cm². | The total surface area of the remaining part of the cube is 4π + 12 cm². Using the approximation π ≈ 3.14, we get 4 * 3.14 + 12 = 12.56 + 12 = 24.56 cm². Rounding to two decimal places, the final answer is approximately 24.56 cm², which is closest to option (4) 24 cm² given the choices provided.",3
Sequence solving,"Consider the sequence where each number indicates the position that the digit 2 appears for the first time in that number (for example, '10' is in position 1 because it contains the digit 2 for the first time as the sequence starts). What is the 5th number in this sequence?",20,22,23,32,Another answer,"Step 1: Understand the sequence definition - Each number in the sequence represents the position where the digit '2' appears for the first time. | Step 2: Examine the given options against the sequence definition. | Step 3: Option (1) '20' - Here, '2' appears for the first time at position 1. | Step 4: Option (3) '23' - Similarly, here '2' appears for the first time at position 1. | Step 5: Recognize that both options (1) and (3) meet the sequence definition. | Step 6: Acknowledge that multiple valid answers exist according to the rules of the sequence. | Both (1) and (3)",1
Spatial reasoning,"A sculptor is creating a unique set of sculptures by stacking cubes of the same size. He wants to create a series of sculptures where each new sculpture includes all the cubes from the previous sculpture plus three new cubes. The first sculpture is a single cube. The second sculpture is the first sculpture plus three new cubes arranged so that they form an L-shape when viewed from above. If the sculptor continues this pattern, how many cubes will he require for the fifth sculpture?",10 cubes,13 cubes,16 cubes,19 cubes,Another answer,"Step 1: Determine the number of cubes added in each subsequent sculpture. According to the pattern, each new sculpture adds three more cubes than the previous one. | Step 2: Calculate the number of cubes in each sculpture starting from the first. The first sculpture has 1 cube. The second sculpture has 1 (from the first sculpture) + 3 (new cubes) = 4 cubes. The third sculpture has 4 (from the second sculpture) + 3 (new cubes) = 7 cubes. Continue this pattern to determine the number of cubes in the fourth and fifth sculptures. | Step 3: Apply the pattern to calculate the number of cubes in the fifth sculpture. The fourth sculpture has 7 (from the third sculpture) + 3 (new cubes) = 10 cubes. Therefore, the fifth sculpture will have 10 (from the fourth sculpture) + 3 (new cubes) = 13 cubes. | 13 cubes",2
